code,category,title,description,evidenceRequired,weight,sortOrder
CR-1.A,CREDENTIALING,Written Credentialing Policies,Organization maintains written policies and procedures for the credentialing process that align with NCQA CR standards.,Credentialing policy document; review and approval by governing body; effective date.,3,10
CR-1.B,CREDENTIALING,Credentialing Committee Charter,Documented charter for the credentialing committee defining scope authority membership and meeting cadence.,Charter document; committee roster; meeting minutes for the look-back period.,3,20
CR-1.C,CREDENTIALING,Practitioner Rights,Written notice of practitioner rights to review information correct erroneous information and be informed of application status.,Provider-facing rights notice; sample acknowledgement; provider portal screenshot.,2,30
CR-2.A,CREDENTIALING,Application,Complete signed application from the practitioner including current attestation.,Signed application PDF; attestation timestamp; application version control.,3,40
CR-2.B,CREDENTIALING,Attestation,Time-bound attestation no older than 365 days at credentialing decision; covers gaps in practice malpractice license history and ability to perform essential functions.,Attestation form; date of signature; audit log entry; legal copy version.,3,50
CR-3.A,CREDENTIALING,License Verification - Primary Source,Current valid license verified from the issuing state board for every state in which the practitioner practices.,License verification PDF dated within the credentialing window; state board URL and capture timestamp.,3,60
CR-3.B,CREDENTIALING,DEA Verification - Primary Source,Current valid DEA registration verified from the DEA database for every state where the practitioner prescribes controlled substances.,DEA verification PDF; capture timestamp; expiry date.,3,70
CR-3.C,CREDENTIALING,Education and Training - Primary Source,Verification of medical / professional school graduation and post-graduate training from the issuing institution or NCQA-recognized equivalent (AMA AOA ECFMG).,Education verification PDF; institution or registry source; capture timestamp.,3,80
CR-3.D,CREDENTIALING,Board Certification - Primary Source,Verification of current board certification status from the certifying board for every specialty in which the practitioner is credentialed.,Board verification PDF or registry capture; certifying board source; expiry date.,2,90
CR-3.E,CREDENTIALING,Work History,Five years of work history with explanation of any gap of six months or more.,Work history form; written explanation of gaps; reference verification log.,2,100
CR-3.F,CREDENTIALING,Malpractice History - PSV,Five years of malpractice claims history verified from carrier or NPDB.,NPDB query result; carrier verification letter; provider attestation.,3,110
CR-3.G,CREDENTIALING,NPDB Query,Current NPDB query at initial credentialing with no actionable findings or appropriately reviewed findings.,NPDB query receipt and response; committee review notes if findings present.,3,120
CR-3.H,CREDENTIALING,OIG and SAM.gov Sanctions,Sanctions check against the Office of Inspector General and the System for Award Management at minimum monthly cadence (NCQA recommends weekly).,Sanctions check log entries; matched-result review notes; monitoring schedule.,3,130
CR-3.I,CREDENTIALING,State Medicaid Sanctions,Sanctions check against state Medicaid exclusion lists for every state in which the practitioner participates.,State Medicaid query log; matched-result review notes.,2,140
CR-4.A,RECREDENTIALING,Recredentialing Cycle,Practitioners are recredentialed at least every 36 months.,Recredentialing cycle report; provider list with dates; exception log.,3,150
CR-4.B,RECREDENTIALING,Recredentialing Application,Updated signed application and attestation collected at recredentialing.,Recredentialing application PDF; attestation timestamp.,3,160
CR-4.C,RECREDENTIALING,Recredentialing PSV,All required PSV elements re-verified at recredentialing within the look-back window.,PSV bundle for the recredentialing period; capture timestamps.,3,170
CR-4.D,RECREDENTIALING,Performance Monitoring,Ongoing monitoring of practitioner performance member complaints and sanctions between credentialing cycles.,OPPE / FPPE evaluations; complaint log; quality measure rollups.,2,180
CR-5.A,DELEGATION,Delegation Agreement,Written delegation agreement specifying responsibilities reporting requirements and termination conditions for any delegated credentialing function.,Signed delegation agreement; pre-delegation evaluation; oversight schedule.,3,190
CR-5.B,DELEGATION,Pre-Delegation Evaluation,Documented pre-delegation evaluation of the delegate's credentialing process within the past 12 months.,Pre-delegation evaluation report; corrective action plan if applicable.,2,200
CR-5.C,DELEGATION,Annual Oversight,Annual evaluation of delegated credentialing activities including file audit and performance review.,Annual oversight report; file audit results; corrective action follow-up.,2,210
CR-6.A,PRACTITIONER_RIGHTS,Right to Review,Practitioners may review information submitted in support of their credentialing application excluding peer review protected information.,Documented right to review process; practitioner portal screenshot; sample request log.,2,220
CR-6.B,PRACTITIONER_RIGHTS,Right to Correct,Practitioners may correct erroneous information collected from external sources within a defined response window.,Documented right to correct process; correction log; response time metrics.,2,230
CR-6.C,PRACTITIONER_RIGHTS,Right to Be Informed of Status,Practitioners are informed of the status of their credentialing or recredentialing application upon request.,Status request log; sample status response; provider portal status surface.,2,240
CR-7.A,CONFIDENTIALITY,Confidentiality of Credentialing Information,Credentialing information is maintained in a manner that protects the confidentiality of the practitioner.,Access control matrix; PHI scope review; encryption-at-rest evidence.,3,250
CR-7.B,CONFIDENTIALITY,Audit Trail,All access to credentialing files is captured in a tamper-evident audit trail.,Audit log sample; tamper-evidence verifier output; retention schedule.,3,260
CR-8.A,OPERATIONS,Reporting,Reporting on credentialing turnaround times exception rates and sanctions matches available to leadership.,Operations dashboard screenshot; report sample; cadence schedule.,2,270
CR-8.B,OPERATIONS,Adverse Action Reporting,Process for reporting adverse practitioner actions to the appropriate regulatory bodies (NPDB state board) within required timeframes.,Adverse-action policy; sample report; state-specific timing matrix.,3,280
CR-9.A,QUALITY_MANAGEMENT,Annual Program Evaluation,Annual evaluation of the credentialing program including effectiveness opportunities and corrective actions.,Annual program evaluation document; corrective action plan; governing body sign-off.,3,290
CR-9.B,QUALITY_MANAGEMENT,Continuous Quality Improvement,Documented continuous quality improvement activities driven by program evaluation findings.,CQI log; KPI trends; closed-loop evidence per finding.,2,300
